root_form,form_name,filed_at,reporting_for,entity_name,ticker,company_cik,company_cik_trimmed,place_of_business,incorporated_location,file_num,film_num,file_num_search_url,filing_details_url,filing_document_url
NPORT-P,,2024-03-27,2024-01-31,PUTNAM MANAGED MUNICIPAL INCOME TRUST,PMM,0000844790,84479,"Boston, Massachusetts",Massachusetts,811-05740,24789346,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-05740&action=getcompany,https://www.sec.gov/Archives/edgar/data/84479/000086939224000651/0000869392-24-000651-index.html,https://www.sec.gov/Archives/edgar/data/84479/000086939224000651/primary_doc.xml
NPORT-P,,2024-01-02,2023-10-31,CENTAUR MUTUAL FUNDS TRUST,,0001295908,1295908,"New York, New York",Delaware,811-21606,24500495,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-21606&action=getcompany,https://www.sec.gov/Archives/edgar/data/1295908/000175272424000054/0001752724-24-000054-index.html,https://www.sec.gov/Archives/edgar/data/1295908/000175272424000054/primary_doc.xml
NPORT-P,,2024-02-28,2023-12-29,AMG FUNDS,,0001089951,1089951,"Stamford, Connecticut",Massachusetts,811-09521,24694913,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-09521&action=getcompany,https://www.sec.gov/Archives/edgar/data/1089951/000175272424046438/0001752724-24-046438-index.html,https://www.sec.gov/Archives/edgar/data/1089951/000175272424046438/primary_doc.xml
NPORT-P,,2024-02-21,2023-12-31,Capital Group Fixed Income ETF Trust,,0001870117,1870117,"Irvine, California",Delaware,811-23738,24657120,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-23738&action=getcompany,https://www.sec.gov/Archives/edgar/data/1870117/000175272424030539/0001752724-24-030539-index.html,https://www.sec.gov/Archives/edgar/data/1870117/000175272424030539/primary_doc.xml
MA-I,,2024-02-26,,Lone Star PACE LLC,,0001714702,1714702,"Frisco, Texas",Texas,868-05325,24682639,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=868-05325&action=getcompany,https://www.sec.gov/Archives/edgar/data/1714702/000171470224000004/0001714702-24-000004-index.html,https://www.sec.gov/Archives/edgar/data/1714702/000171470224000004/primary_doc.xml
NPORT-P,,2024-01-17,2023-11-30,FRANKLIN TAX FREE TRUST,,0000757010,75701,"San Mateo, California",Florida,811-04149,24537496,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-04149&action=getcompany,https://www.sec.gov/Archives/edgar/data/75701/000175272424005828/0001752724-24-005828-index.html,https://www.sec.gov/Archives/edgar/data/75701/000175272424005828/primary_doc.xml
10-K,Annual report,2024-02-23,2023-12-31,Blackstone Inc.,BX,0001393818,1393818,"New York, New York",Delaware,001-33551,24671070,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-33551&action=getcompany,https://www.sec.gov/Archives/edgar/data/1393818/000119312524044485/0001193125-24-044485-index.html,https://www.sec.gov/Archives/edgar/data/1393818/000119312524044485/d734131dex1082.htm
NPORT-P,,2024-01-26,2023-11-30,iSHARES TRUST,,0001100663,1100663,"San Francisco, California",Delaware,811-09729,24565604,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-09729&action=getcompany,https://www.sec.gov/Archives/edgar/data/1100663/000175272424015070/0001752724-24-015070-index.html,https://www.sec.gov/Archives/edgar/data/1100663/000175272424015070/primary_doc.xml
NPORT-P,,2024-03-04,2024-01-31,EATON VANCE MUNICIPALS TRUST II,,0000914529,914529,"Boston, Massachusetts",[],811-08134,24714353,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-08134&action=getcompany,https://www.sec.gov/Archives/edgar/data/914529/000175272424049954/0001752724-24-049954-index.html,https://www.sec.gov/Archives/edgar/data/914529/000175272424049954/primary_doc.xml
N-CSRS,Semi-annual shareholder report,2024-02-02,2023-11-30,DEUTSCHE DWS MUNICIPAL TRUST,,0000203142,203142,"New York, New York",Massachusetts,811-02671,24588131,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-02671&action=getcompany,https://www.sec.gov/Archives/edgar/data/203142/000008805324000071/0000088053-24-000071-index.html,https://www.sec.gov/Archives/edgar/data/203142/000008805324000071/sr113023mmb.htm
8-K,Current report,2024-02-21,2024-02-21,"Joby Aviation, Inc.","JOBY, JOBY-WT",0001819848,1819848,"Santa Cruz, California",Delaware,001-39524,24659414,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-39524&action=getcompany,https://www.sec.gov/Archives/edgar/data/1819848/000181984824000118/0001819848-24-000118-index.html,https://www.sec.gov/Archives/edgar/data/1819848/000181984824000118/joby-8kx20240221xex99_2.htm
NPORT-P,,2024-01-26,2023-11-30,EATON VANCE MUNICIPALS TRUST,,0000778365,778365,"Boston, Massachusetts",[],811-04409,24565070,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-04409&action=getcompany,https://www.sec.gov/Archives/edgar/data/778365/000175272424014829/0001752724-24-014829-index.html,https://www.sec.gov/Archives/edgar/data/778365/000175272424014829/NPORT_FJ2A_69129531_1123.htm
NPORT-P,,2024-02-27,2023-12-31,BERNSTEIN SANFORD C FUND INC,,0000832808,832808,"New York, New York",Maryland,811-05555,24688666,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-05555&action=getcompany,https://www.sec.gov/Archives/edgar/data/832808/000175272424043576/0001752724-24-043576-index.html,https://www.sec.gov/Archives/edgar/data/832808/000175272424043576/primary_doc.xml
6-K,Current report,2024-02-23,2024-02-23,STMicroelectronics N.V.,"STM, STMEF",0000932787,932787,"Schiphol Airport, Netherlands",Netherlands,001-13546,24671374,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-13546&action=getcompany,https://www.sec.gov/Archives/edgar/data/932787/000094787124000184/0000947871-24-000184-index.html,https://www.sec.gov/Archives/edgar/data/932787/000094787124000184/ss3064877_6k.htm
MA-A,,2024-01-29,2023-12-31,Granite Municipal Advisors LLC,,0001736952,1736952,"Concord, New Hampshire",New Hampshire,867-02362,24625344,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=867-02362&action=getcompany,https://www.sec.gov/Archives/edgar/data/1736952/000173695224000002/0001736952-24-000002-index.html,https://www.sec.gov/Archives/edgar/data/1736952/000173695224000002/primary_doc.xml
10-K,Annual report,2024-02-23,2023-12-31,"['LAMAR ADVERTISING CO/NEW', 'LAMAR MEDIA CORP/DE']",LAMR,"['0001090425', '0000899045']","['1090425', '899045']","['Baton Rouge, Louisiana', 'Baton Rouge, Louisiana']","['Delaware', 'Delaware']","['001-36756', '001-12407']","['24667603', '24667604']","['https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-36756&action=getcompany', 'https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-12407&action=getcompany']","['https://www.sec.gov/Archives/edgar/data/1090425/000162828024006537/0001628280-24-006537-index.html', 'https://www.sec.gov/Archives/edgar/data/899045/000162828024006537/0001628280-24-006537-index.html']","['https://www.sec.gov/Archives/edgar/data/1090425/000162828024006537/lamr-20231231x10kxex21a.htm', 'https://www.sec.gov/Archives/edgar/data/899045/000162828024006537/lamr-20231231x10kxex21a.htm']"
NPORT-P,,2024-01-25,2023-11-30,PUTNAM NEW JERSEY TAX EXEMPT INCOME FUND,,0000857463,857463,"Boston, Massachusetts",Massachusetts,811-05977,24561449,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-05977&action=getcompany,https://www.sec.gov/Archives/edgar/data/857463/000086939224000200/0000869392-24-000200-index.html,https://www.sec.gov/Archives/edgar/data/857463/000086939224000200/primary_doc.xml
